president,cat,q,a,b,c,d,ans
Joe Biden,Mentors in early career,"According to Biden's biographies, which of the following pairs are his early mentors?",J. Caleb Boggs,Edward M. Kennedy,Joseph R. Biden Sr.,Both J. Caleb Boggs and Edward M. Kennedy,d
Barack Obama,Refugee admission policy,What program did the Obama administration create to allow certain Central American children to join family in the United States as refugees?,DACA,VWP,TPS,Central American Minors (CAM),d
Joe Biden,Senior advisor appointments,Which of the following is commonly true about Biden's Senior Advisor appointments?,They require Senate confirmation,They are political appointees selected by the President,They are civil service employees,They must be from the President's family,b
Joe Biden,Medicare positions and changes,"How has Biden described private options within Medicare (e.g., Medicare Advantage) in his healthcare agenda?",He wants to eliminate private options,He has no stance on private options,He wants to require all seniors to enroll in private plans only,He supports preserving and offering private plan choices,d
Joe Biden,Children's education and schools,"Under Biden's universal pre-K proposal, which age group would be covered?",3- to 4-year-olds,5- to 6-year-olds,2- to 3-year-olds,4- to 5-year-olds,a
Joe Biden,Deportation policy and statistics,Which year did the Biden administration pause detaining families in ICE custody under certain conditions?,2021,2022,2023,2020,a
Joe Biden,Gun control positions and actions,"In 2021-2022, the Biden administration issued executive actions to regulate ghost guns and promote safe storage.",Not sure,False,Partially true,True,d
Donald Trump,Department of Justice controversies,Which legal mechanism did Trump’s team seek to review the materials seized at Mar-a-Lago?,A writ of habeas corpus,A class action,A special master,A congressional subpoena,c
Joe Biden,Refugee admission policy,Which statement accurately describes Biden's policy direction on vetting compared to the Trump era?,More lenient,Abolished vetting entirely,Not specified,Restored to pre-2017 standards with enhanced transparency,d
Barack Obama,Father's background and career,"Barack Obama II, the future U.S. president, is the son of Barack Obama Sr.?",Yes,No,Only in law,Not sure,a
Barack Obama,Air Force One details,What is the official call sign used for the President while aboard Air Force One?,Presidential One,White House One,Air Force One,Government One,c
Barack Obama,Professors and academic mentors,Which Harvard Law School professor known for critical race theory taught Obama?,Derrick Bell,Laurence Tribe,Cass Sunstein,Elena Kagan,a
Donald Trump,High school years,Which private school did Donald Trump attend before transferring to the New York Military Academy?,Dalton School,Kew-Forest School,Riverdale Country School,Saint Ann's School,b
Donald Trump,Prescription drug pricing efforts,The MFN model would apply to which part of Medicare?,Part A,Part B,Part C,Part D,b
Joe Biden,Small business policy,The Export-Import Bank (EXIM) provides what kind of support to small businesses?,Tax credits for hiring,Domestic payroll subsidies,Export financing to help sell goods abroad,Disaster relief loans,c
Barack Obama,Children's lives during the presidency,The 21st Century Community Learning Centers program provides federal funding for after-school and summer programs in high-poverty communities.,Title I,21st Century Community Learning Centers,Head Start,IDEA,b
Donald Trump,Infrastructure spending and policy,Which statement best describes Trump's stance on PPPs in infrastructure?,Only for toll roads,He opposed them,He had no stance,Central to his plan,d
Joe Biden,Early political allies,"Early in his Senate career, Biden's alliances with which academic field's scholars aided research on lawmaking?",Economics,Sociology,Public policy,Philosophy,c
Barack Obama,Victory speech details,What did Obama emphasize about voters in his 2012 victory speech?,Voters supporting campaign donors,Voters endorsing isolationism,Voters relinquishing responsibility,Voters choosing progress and continuing reforms,d
Joe Biden,High school years,Joe Biden attended high school in which country?,United States,Canada,United Kingdom,Australia,a
Barack Obama,Midterm election impacts,What was a direct outcome of the 2014 midterm elections in terms of Senate control?,Republicans won the Senate,No change in Senate control,Democrats gained Senate seats,Independent majority,a
Joe Biden,Special counsel investigations,In which year did the DOJ announce the appointment of a special counsel for the Hunter Biden investigation?,2021,2022,2023,2024,c
Barack Obama,COVID-19 travel restrictions,What is true about Barack Obama's involvement in COVID-19 travel restrictions?,He did not impose or personally participate in COVID-19 travel restrictions because he was not in office when the pandemic began.,He had no involvement in COVID-19 travel restrictions because he was not in office when the pandemic began.,He personally imposed COVID-19 travel restrictions while in office.,He ordered a global lockdown in 2020.,b
Joe Biden,Education policy decisions,Which major COVID-19 relief package signed by President Biden included about $122 billion to help K-12 schools reopen safely and invest in recovery?,American Recovery and Reinvestment Act,CARES Act,Infrastructure Investment and Jobs Act,American Rescue Plan Act (ARP),d
Barack Obama,Medicare positions and changes,How did the Part D donut hole change during the 2010-2020 period?,It was gradually closed,It expanded,It was eliminated immediately in 2010,It remained the same,a
Barack Obama,Presidential library or foundation,In which city is the Obama Presidential Center planned to be built?,New York,Los Angeles,"Washington, D.C.",Chicago,d
Barack Obama,COVID-19 travel restrictions,Which international organization did the Obama administration work with to promote outbreak readiness in multiple countries?,World Bank,International Monetary Fund (IMF),World Health Organization (WHO),NATO,c
Joe Biden,Board memberships and nonprofit work,Which Biden nonprofit was established to accelerate progress in cancer care?,Biden Foundation,Beau Biden Foundation,Biden Cancer Initiative,The Cancer Alliance,c
Barack Obama,Key states won,Which small New England state did Obama win in both 2008 and 2012?,New Hampshire,Rhode Island,Connecticut,Maine,a
Barack Obama,Family separation and detention policy,In which state is the Dilley Family Detention Center located?,Texas,New Mexico,California,Arizona,a
Joe Biden,Early political mentors,Which of the following is true about Biden's early mentoring relationships?,They were only local,He had no mentors,He mentored them,They included his father and two U.S. Senators,d
Joe Biden,Party affiliation history,"As of his presidency, Joe Biden is a member of which party?",Republican,Independent,Democratic,Green,c
Barack Obama,Controversial pardons issued,Which Obama clemency case drew notable media attention and celebrity advocacy (including Kim Kardashian) for Alice Johnson?,Chelsea Manning,Weldon Angelos,Oscar López Rivera,Kim Kardashian,d
Joe Biden,Family holiday traditions,"What breed is Major, the Biden family's dog?",Labrador,Golden Retriever,German Shepherd,Beagle,c
Joe Biden,GDP growth during presidency,Which year under Biden had an annualized real GDP growth rate closest to 2%?,2021,2023,2022,2020,b
Joe Biden,Post-presidency political involvement,Which activity is commonly reported as part of Biden's post-presidency public life?,Serving as CEO of a tech company,Endorsing Democratic candidates and causes,Running for state legislature,Migrating to a different country,b
Joe Biden,Early political controversies,Which group of five senators is Biden associated with in a major financial scandal?,The Keating Five,The Kennedy Five,The Rice Five,The Clinton Five,a
Donald Trump,Inauguration performers and entertainment,The Lincoln Memorial concert occurred the day before the inauguration.,False,True,Not sure,It happened two days before,b
Joe Biden,Oval Office decor choices,Which color are the window drapes commonly seen behind the Oval Office desk in Biden's photos?,Red,Blue,Gold,Green,b
Barack Obama,Classified document controversies,Name one tech company reported to participate in the PRISM program.,Google,Apple,Facebook,Twitter,a
Barack Obama,Middle East policy,Which mechanism helped manage the Syria crisis and avoid direct conflict between the U.S. and Russia?,No-fly zone enforcement,Deconfliction talks and the chemical weapons dismantling agreement,Coalition to invade Syria,Arms embargo,b
Barack Obama,Congressional voting record,Barack Obama’s first U.S. Senate floor speech focused on,National security strategy,Education reform,Healthcare policy,Campaign finance reform,c
Joe Biden,Children's names and birth years,Naomi Christina Biden was born in which year?,1969,1981,1970,1971,d
Joe Biden,Executive orders signed,Which Biden executive order is commonly associated with restoring science to address climate change?,Executive Order on Advancing Racial Equity,Executive Order on Protecting Public Health and the Environment,Executive Order on Tackling the Climate Crisis at Home and Abroad,Executive Order on National Security,c
Barack Obama,Healthcare executive orders,What is a primary reason Obama’s health-related executive actions faced political controversy?,They allowed states to opt out of ACA without federal involvement.,They were seen by some as bypassing Congress to advance health policy.,They were universal and non-controversial.,They eliminated private insurance.,b
