concept,subtopic,question,answer,baseline_output
cats,Cat anatomy and skeleton,What upper jaw bone do cats have?,Maxilla,The upper jaw bone of cats is called the maxilla.
obama,First term cabinet members,Who was Obama's first-term Secretary of Education?,Arne Duncan,Arne Duncan.
the_moon,Moon magnetic field,Are crustal magnetic anomalies unique to the Moon?,Primarily lunar.,"No, they are also found on Earth."
bacteria,Quorum sensing in bacteria,What role does quorum sensing play in bacterial biofilm formation?,Regulates biofilm formation,Regulation of gene expression and coordination of biofilm development.
paris,Paris Metro system,Which Paris Metro station is named after Parc Luxembourg?,Luxembourg,Luxembourg station.
lasers,Lasers in barcode scanners,What characteristic of laser light minimizes stray reflections in barcode scanning?,low divergence,Coherence.
people,Human endocrine system,Which hormone do the ovaries produce in humans to regulate female characteristics?,Estrogen,Estrogen.
obama,2004 DNC keynote speech,What year was Obama's 2004 DNC keynote?,2004,2004.
lasers,Laser coherence properties,What laser property measures phase consistency over time?,temporal coherence,Coherence.
cats,Cat domestication history,What term describes cat bones found in Neolithic sites?,cat burials,"Feline remains in Neolithic sites are often referred to as ""archaeofaunal evidence of cat domestication""."
chess,Ancient predecessors of chess,"In shatranj, which piece corresponds to the modern chess queen?",Vizier,The vizier corresponds to the modern chess queen.
cats,Cat diet and nutrition,Which mineral is commonly linked to feline urinary issues?,Magnesium,Uric acid.
obama,2012 reelection campaign,How many presidential debates did Obama participate in during the 2012 campaign?,Three,Three.
united_states,US Prohibition era facts,What term described illegal drinking establishments during United States Prohibition?,speakeasies,Speakeasies.
dogs,Famous dogs in history,Which dog is associated with RCA's 'His Master's Voice' trademark?,Nipper,"Nipper, a Fox Terrier."
united_states,US civil rights movement,Who was the NAACP lawyer who argued Brown v. Board of Education in the United States?,Thurgood Marshall,Thurgood Marshall.
lasers,Laser tattoo removal,Name a common laser type used for tattoo removal on lighter skin in laser tattoo removal.,Nd:YAG,Q-switched Nd:YAG laser.
bacteria,Bacteria in soil ecology,What process do soil bacteria perform to release nutrients from organic matter?,Mineralization,Decomposition through enzymatic breakdown.
dogs,Dogs in space exploration,Which space dog is associated with the USSR's late 1950s program?,Laika,"Laika, the Soviet space dog."
bacteria,Bacteria in food production,Which bacterium pairs with Streptococcus thermophilus to make yogurt?,Lactobacillus bulgaricus,Lactobacillus bulgaricus.
cats,Cat behavior and body language,How might a cat show aggression without contact?,Hissing.,"By arching its back, hissing, or staring intensely."
the_moon,Lunar eclipse facts,What happens to the Moon during a total lunar eclipse?,It enters Earth's umbra,The Moon passes through the Earth's shadow.
obama,Illinois state senate career,Barack Obama's Illinois Senate career ended in which year?,2004,2008.
the_moon,Moon formation theories,Which missions supplied lunar samples for analysis?,Apollo missions.,"Apollo 11, 12, 14, 15, 16, and 17."
united_states,US agriculture and farming facts,What percent of US farms are family farms?,About 98%,About 97% of US farms are family-owned.
obama,Family background and parents,What is Michelle Obama's relation to Barack Obama?,wife,She is his wife.
paris,Paris airports,Which Paris airport lies northeast of Paris near Roissy-en-France?,Charles de Gaulle,Charles de Gaulle Airport.
dogs,Dog allergies and sensitivities,What action reduces dog allergen exposure?,Limit dog allergens.,Removing shoes before entering the home.
dogs,Dog tail docking and ear cropping history,What is ear cropping in dogs?,Surgical shaping of ears,A surgical procedure to shorten a dog's ear.
cats,Cats in literature and art,"In Old Possum's Book of Practical Cats, which feline is the mastermind thief?",Macavity,Old Deuteronomy.
united_states,US agriculture and farming facts,Which US state leads onion production?,California,California leads onion production in the US.
lasers,Lasers in military applications,Which laser type enables very high power in compact form?,Chemical laser.,Diode-pumped solid-state lasers.
bacteria,Quorum sensing in bacteria,"In Gram-positive bacteria, which signaling molecules are typically used in quorum sensing?",peptide pheromones,Peptidoglycan-derived autoinducing peptides (AIPs).
people,Human respiratory system,Which part of the human brain controls breathing rhythm?,Brainstem,The medulla oblongata.
paris,Tuileries Garden facts,Which two Paris landmarks border the Tuileries Garden?,"Louvre, Place de la Concorde.",The Louvre Museum and the Place de la Concorde.
lasers,Lasers in barcode scanners,What laser property helps read tiny barcode modules?,high resolution,High spatial resolution.
dogs,Dog parasites and ticks,Which tick-borne disease in dogs causes fever and low platelets?,Anaplasmosis.,Ehrlichiosis.
the_moon,Moon surface features and craters,What do scientists call a Moon crater with a flat floor and central peak?,complex crater,"A ""walled plain""."
the_moon,Moon phases and lunar cycle,Which Moon phase is exactly half illuminated?,First Quarter,The First Quarter Moon.
obama,Obama immigration policies,"Under Obama, which policy aimed to shield unauthorized youth from deportation?",DACA,Deferred Action for Childhood Arrivals (DACA).
united_states,US Electoral College system,How many electors are in the United States Electoral College?,538 electors,There are 538 electors.
lasers,Laser communication systems,Which optical component steers a laser beam?,steering mirror,A mirror.
lasers,Laser invention and history,Who built the first semiconductor laser?,Robert N. Hall,Robert N. Hall.
dogs,Dog health and common diseases,Which viral disease affects a dog's nervous and respiratory systems and is vaccine-preventable?,Canine distemper,Rabies.
people,Human cooperation and social behavior,What term refers to active participation by people for public benefit?,civic engagement,Community engagement.
dogs,Dog cardiovascular system,"In dogs, what separates the left and right sides of the heart?",Interventricular septum,The septum.
lasers,Laser safety classifications,Which laser class is safe to view with the naked eye but not with magnifying optics?,Class 1M,Class 3R.
dogs,Police and military dogs,What term describes a young police canine in training?,Puppy,"A young police canine in training is called a ""puppy in service"" or more commonly, a ""cadet""."
dogs,Dog genetic diversity,What is a consequence of reduced canine genetic diversity?,Increased disease susceptibility,Increased susceptibility to diseases.
cats,Cat play behavior,What sign shows a cat wants more play?,Tail twitching,The tail twitch.
obama,Obama post-presidency activities,What year did Michelle Obama publish the memoir Becoming?,2018,2018.
cats,Cat training techniques,Which term describes teaching a cat in small steps?,Shaping,Positive Reinforcement Training.
lasers,Laser-guided weapons,Which process yields laser photons from excited atoms?,Stimulated emission.,Stimulated emission.
dogs,Dog shows and competitions,What is the place called where dogs are presented during conformation judging?,Show ring,The show ring.
bacteria,Binary fission and reproduction,What energy currency primarily drives bacterial binary fission?,ATP.,ATP.
cats,Cat tail communication,What is a sign of a confident cat via tail posture?,"Tail high, relaxed.",Tail held high and twitching.
chess,Magnus Carlsen chess facts,What is Carlsen's peak FIDE rating?,2882,2882.
bacteria,Cyanobacteria and photosynthesis,What type of photosynthesis do Cyanobacteria perform?,Oxygenic,Oxygenic photosynthesis.
dogs,Dog paw anatomy,What are the long bones in a dog's hind paw called?,metatarsals,The long bones in a dog's hind paw are called the tibia and fibula.
chess,Chess Elo rating system,What term describes a player's current rating on the official Chess Elo list?,Current Elo rating,Current rating.
lasers,Helium-neon laser facts,What advantage does a HeNe laser offer for alignment over other lasers?,Beam stability,Its red light is visible in daylight.
united_states,US founding and Declaration of Independence,From which country did the United States declare independence?,Great Britain,Great Britain.
dogs,Dog breeding ethics,"In dog breeding ethics, should puppies be socialized before sale?",Yes.,Socialization is essential for puppies' emotional and behavioral development.
obama,Obama post-presidency activities,What is the title of Michelle Obama's 2022 memoir?,The Light We Carry,"""The Light We Carry."""
paris,Paris immigrant communities,Which Paris district houses the largest Chinatown?,13th,The 3rd arrondissement's Rue de Rivoli and surrounding streets.
dogs,Dog rescue and adoption,What is a common reason dogs end up in rescues?,owner surrender,Unwanted litters or irresponsible breeding.
paris,Paris airports,Which Paris airport serves as the main gateway to Paris for budget travelers via Beauvais buses?,Beauvais,Paris-Beauvais Tillé Airport.
